Expected,Predicted,LIME explanations
6,5.3,"[('alcohol > 0.72', 0.7169595022893995), ('free sulfur dioxide <= -0.71', -0.24934933629838468), ('-0.18 < volatile acidity <= 0.42', -0.12001398084859399), ('residual sugar <= -0.93', -0.11940944156105876), ('fixed acidity > 0.52', -0.08762203318454147), ('density <= -0.76', 0.07717553106481387)]"
6,5.3,"[('alcohol > 0.72', 0.7070522773334117), ('free sulfur dioxide <= -0.71', -0.2477487790183659), ('residual sugar <= -0.93', -0.12271955826546747), ('-0.18 < volatile acidity <= 0.42', -0.10747943737808202), ('fixed acidity > 0.52', -0.0912676004558543), ('density <= -0.76', 0.07434646054090213)]"
7,6.12,"[('alcohol > 0.72', 0.7188763852686887), ('free sulfur dioxide <= -0.71', -0.25144189786319526), ('-0.18 < volatile acidity <= 0.42', -0.13352862141707744), ('residual sugar <= -0.93', -0.12211660055855794), ('fixed acidity > 0.52', -0.09859332657718937), ('density <= -0.76', 0.06894974643342561)]"
6,5.48,"[('alcohol > 0.72', 0.7088221659308603), ('free sulfur dioxide <= -0.71', -0.24108117522404207), ('-0.18 < volatile acidity <= 0.42', -0.10547543104891255), ('residual sugar <= -0.93', -0.09837831515411925), ('fixed acidity > 0.52', -0.0811505283892673), ('density <= -0.76', 0.0706079487427153)]"
6,5.82,"[('alcohol > 0.72', 0.7056348388102531), ('free sulfur dioxide <= -0.71', -0.23147187756321688), ('-0.18 < volatile acidity <= 0.42', -0.12292636972700437), ('residual sugar <= -0.93', -0.11246970416660108), ('density <= -0.76', 0.07963021881179382), ('fixed acidity > 0.52', -0.07574311545216911)]"
6,5.62,"[('alcohol > 0.72', 0.6998395513312703), ('free sulfur dioxide <= -0.71', -0.26054786370260075), ('-0.18 < volatile acidity <= 0.42', -0.1300482030534457), ('residual sugar <= -0.93', -0.1120928440539475), ('fixed acidity > 0.52', -0.07513799166943172), ('density <= -0.76', 0.07196326288873203)]"
6,5.82,"[('alcohol > 0.72', 0.6967796660544536), ('free sulfur dioxide <= -0.71', -0.26504344905863664), ('residual sugar <= -0.93', -0.1239029378929358), ('-0.18 < volatile acidity <= 0.42', -0.11064259500565196), ('fixed acidity > 0.52', -0.09888179733598258), ('density <= -0.76', 0.07965777970110845)]"
5,5.16,"[('alcohol > 0.72', 0.7145636303374179), ('free sulfur dioxide <= -0.71', -0.2274297317279632), ('residual sugar <= -0.93', -0.11541465621758097), ('-0.18 < volatile acidity <= 0.42', -0.1088017315865603), ('fixed acidity > 0.52', -0.10176356030201789), ('density <= -0.76', 0.08034601590791217)]"
6,5.08,"[('alcohol > 0.72', 0.7041075701738738), ('free sulfur dioxide <= -0.71', -0.25584855080563906), ('residual sugar <= -0.93', -0.10435420326547429), ('-0.18 < volatile acidity <= 0.42', -0.09859194487062209), ('density <= -0.76', 0.08858477494817289), ('fixed acidity > 0.52', -0.07249679353096458)]"
8,6.4,"[('alcohol > 0.72', 0.7146589139565973), ('free sulfur dioxide <= -0.71', -0.23911760386455788), ('-0.18 < volatile acidity <= 0.42', -0.12852691249120618), ('residual sugar <= -0.93', -0.11791498983399322), ('density <= -0.76', 0.0892019487935901), ('fixed acidity > 0.52', -0.07361288559930385)]"
5,6.1,"[('alcohol > 0.72', 0.6954468639806762), ('free sulfur dioxide <= -0.71', -0.25094747518541977), ('residual sugar <= -0.93', -0.12027594595933586), ('-0.18 < volatile acidity <= 0.42', -0.10765527681948804), ('density <= -0.76', 0.0861686411632863), ('fixed acidity > 0.52', -0.08066312638616586)]"
5,5.18,"[('alcohol > 0.72', 0.7071799731401974), ('free sulfur dioxide <= -0.71', -0.22663371328289145), ('residual sugar <= -0.93', -0.11650219175525983), ('-0.18 < volatile acidity <= 0.42', -0.1153510896631659), ('fixed acidity > 0.52', -0.09756004186782663), ('density <= -0.76', 0.08143983719086377)]"
6,5.82,"[('alcohol > 0.72', 0.7123816785038877), ('free sulfur dioxide <= -0.71', -0.23609854958313428), ('residual sugar <= -0.93', -0.10856471202383909), ('density <= -0.76', 0.09670548856750968), ('-0.18 < volatile acidity <= 0.42', -0.0938342445581756), ('fixed acidity > 0.52', -0.08219345608158181)]"
7,6.64,"[('alcohol > 0.72', 0.7121965923364071), ('free sulfur dioxide <= -0.71', -0.24609388788137443), ('residual sugar <= -0.93', -0.11055045512238315), ('-0.18 < volatile acidity <= 0.42', -0.10715663482302215), ('fixed acidity > 0.52', -0.07088810243947523), ('density <= -0.76', 0.06614483662504186)]"
7,6.26,"[('alcohol > 0.72', 0.6990967780602128), ('free sulfur dioxide <= -0.71', -0.2536460937666011), ('residual sugar <= -0.93', -0.1253447783831231), ('-0.18 < volatile acidity <= 0.42', -0.11320846308408435), ('density <= -0.76', 0.08709762368767557), ('fixed acidity > 0.52', -0.07607032550002546)]"
6,5.14,"[('alcohol > 0.72', 0.7274148284263496), ('free sulfur dioxide <= -0.71', -0.24986973859306488), ('-0.18 < volatile acidity <= 0.42', -0.13627751366477656), ('fixed acidity > 0.52', -0.09888222406408727), ('residual sugar <= -0.93', -0.09726045840462187), ('density <= -0.76', 0.09030992565822273)]"
5,6.08,"[('alcohol > 0.72', 0.7185239762414987), ('free sulfur dioxide <= -0.71', -0.23805573965426285), ('-0.18 < volatile acidity <= 0.42', -0.11893663231355907), ('residual sugar <= -0.93', -0.1019934373201627), ('fixed acidity > 0.52', -0.09391358315554191), ('density <= -0.76', 0.06448694663093445)]"
5,5.16,"[('alcohol > 0.72', 0.702337439222609), ('free sulfur dioxide <= -0.71', -0.2511578144296493), ('residual sugar <= -0.93', -0.14132696069982661), ('fixed acidity > 0.52', -0.10509534486146052), ('-0.18 < volatile acidity <= 0.42', -0.0984145243887945), ('density <= -0.76', 0.09675485210631582)]"
6,5.44,"[('alcohol > 0.72', 0.722964340745888), ('free sulfur dioxide <= -0.71', -0.24828347851479665), ('residual sugar <= -0.93', -0.1364774439948838), ('-0.18 < volatile acidity <= 0.42', -0.11825518881821119), ('fixed acidity > 0.52', -0.09423065529203302), ('density <= -0.76', 0.06992504979528269)]"
5,5.1,"[('alcohol > 0.72', 0.6884868439216533), ('free sulfur dioxide <= -0.71', -0.24715135256777748), ('-0.18 < volatile acidity <= 0.42', -0.11613414158138087), ('residual sugar <= -0.93', -0.11489909033218138), ('fixed acidity > 0.52', -0.08714301314147402), ('density <= -0.76', 0.07455100790255124)]"
4,4.86,"[('alcohol > 0.72', 0.7094443413704722), ('free sulfur dioxide <= -0.71', -0.22781727424091266), ('residual sugar <= -0.93', -0.12058758335103108), ('-0.18 < volatile acidity <= 0.42', -0.10726390850914827), ('fixed acidity > 0.52', -0.09243394194313971), ('density <= -0.76', 0.06739873942299932)]"
6,6.08,"[('alcohol > 0.72', 0.7034584656806004), ('free sulfur dioxide <= -0.71', -0.24986414367486254), ('residual sugar <= -0.93', -0.12857708243787896), ('-0.18 < volatile acidity <= 0.42', -0.123946725561524), ('fixed acidity > 0.52', -0.07870214701034772), ('density <= -0.76', 0.06606402278184745)]"
5,5.16,"[('alcohol > 0.72', 0.7120711305467274), ('free sulfur dioxide <= -0.71', -0.23634450687623923), ('residual sugar <= -0.93', -0.1299137952104198), ('-0.18 < volatile acidity <= 0.42', -0.11035537787931596), ('density <= -0.76', 0.10215395016669783), ('fixed acidity > 0.52', -0.09527923325399024)]"
6,5.56,"[('alcohol > 0.72', 0.7106455767474052), ('free sulfur dioxide <= -0.71', -0.23449556331425267), ('residual sugar <= -0.93', -0.11421646680281641), ('-0.18 < volatile acidity <= 0.42', -0.10531640533599458), ('fixed acidity > 0.52', -0.10103184829168997), ('density <= -0.76', 0.059259565559896026)]"
5,5.94,"[('alcohol > 0.72', 0.7325987712653644), ('free sulfur dioxide <= -0.71', -0.22475233158990712), ('residual sugar <= -0.93', -0.12169918045729686), ('-0.18 < volatile acidity <= 0.42', -0.11146576300475604), ('fixed acidity > 0.52', -0.09881953243798983), ('density <= -0.76', 0.07712338036870474)]"
7,5.78,"[('alcohol > 0.72', 0.6852348925663229), ('free sulfur dioxide <= -0.71', -0.24043098349039363), ('-0.18 < volatile acidity <= 0.42', -0.11403740245921443), ('fixed acidity > 0.52', -0.0948404057825551), ('residual sugar <= -0.93', -0.08693107010088065), ('density <= -0.76', 0.07110851821210426)]"
7,5.78,"[('alcohol > 0.72', 0.7092386822995244), ('free sulfur dioxide <= -0.71', -0.25188244282560096), ('residual sugar <= -0.93', -0.11804903737351748), ('-0.18 < volatile acidity <= 0.42', -0.10368963753521246), ('fixed acidity > 0.52', -0.09170974458965862), ('density <= -0.76', 0.08147518261623762)]"
6,5.84,"[('alcohol > 0.72', 0.7161691553921858), ('free sulfur dioxide <= -0.71', -0.24593223152943572), ('residual sugar <= -0.93', -0.12193406983177495), ('-0.18 < volatile acidity <= 0.42', -0.1068050880709049), ('fixed acidity > 0.52', -0.09065524849381473), ('density <= -0.76', 0.08599148458625133)]"
6,5.56,"[('alcohol > 0.72', 0.7230907200412348), ('free sulfur dioxide <= -0.71', -0.24732207484184673), ('-0.18 < volatile acidity <= 0.42', -0.10312406614185196), ('residual sugar <= -0.93', -0.10296456048631095), ('density <= -0.76', 0.09059760542273863), ('fixed acidity > 0.52', -0.0814221740981039)]"
7,6.32,"[('alcohol > 0.72', 0.7136739473733927), ('free sulfur dioxide <= -0.71', -0.24308077854086108), ('-0.18 < volatile acidity <= 0.42', -0.11527447391387402), ('residual sugar <= -0.93', -0.09439899744723784), ('fixed acidity > 0.52', -0.08060189809739166), ('density <= -0.76', 0.07964020530068913)]"
6,5.66,"[('alcohol > 0.72', 0.7123553840527352), ('free sulfur dioxide <= -0.71', -0.24201167177347618), ('-0.18 < volatile acidity <= 0.42', -0.11971332454912822), ('residual sugar <= -0.93', -0.11382572265929268), ('fixed acidity > 0.52', -0.10587539946885424), ('density <= -0.76', 0.08925372142994441)]"
5,6.04,"[('alcohol > 0.72', 0.7072054736826651), ('free sulfur dioxide <= -0.71', -0.23351332284273763), ('-0.18 < volatile acidity <= 0.42', -0.10851972697688082), ('residual sugar <= -0.93', -0.086611264743081), ('fixed acidity > 0.52', -0.07807980353725646), ('density <= -0.76', 0.07742533898705949)]"
7,6.78,"[('alcohol > 0.72', 0.7068890066896018), ('free sulfur dioxide <= -0.71', -0.24676916717796005), ('residual sugar <= -0.93', -0.12317444947630234), ('-0.18 < volatile acidity <= 0.42', -0.09893271106436766), ('fixed acidity > 0.52', -0.08609207694073631), ('density <= -0.76', 0.06283936005004785)]"
5,5.84,"[('alcohol > 0.72', 0.6904979045323867), ('free sulfur dioxide <= -0.71', -0.22576243742663216), ('-0.18 < volatile acidity <= 0.42', -0.12247243879280242), ('residual sugar <= -0.93', -0.11154589708268177), ('fixed acidity > 0.52', -0.10178310413893715), ('density <= -0.76', 0.09206543571698998)]"
5,5.88,"[('alcohol > 0.72', 0.7130167738955508), ('free sulfur dioxide <= -0.71', -0.24579927105871127), ('residual sugar <= -0.93', -0.11726464062368121), ('-0.18 < volatile acidity <= 0.42', -0.11520882598695048), ('density <= -0.76', 0.08198202979399899), ('fixed acidity > 0.52', -0.08180309821865452)]"
5,5.16,"[('alcohol > 0.72', 0.7000830689638484), ('free sulfur dioxide <= -0.71', -0.24554262924876022), ('-0.18 < volatile acidity <= 0.42', -0.11277318943431562), ('residual sugar <= -0.93', -0.10196481279047762), ('density <= -0.76', 0.07857745269196145), ('fixed acidity > 0.52', -0.0783704628545059)]"
5,5.42,"[('alcohol > 0.72', 0.7153199142732563), ('free sulfur dioxide <= -0.71', -0.2491892033179783), ('-0.18 < volatile acidity <= 0.42', -0.12873274961570208), ('residual sugar <= -0.93', -0.10281885605855766), ('fixed acidity > 0.52', -0.08892547636261523), ('density <= -0.76', 0.08154456431617507)]"
6,5.34,"[('alcohol > 0.72', 0.7199645544578183), ('free sulfur dioxide <= -0.71', -0.21293782181813234), ('residual sugar <= -0.93', -0.11401929243397942), ('-0.18 < volatile acidity <= 0.42', -0.10828822932682909), ('fixed acidity > 0.52', -0.08761606054139894), ('density <= -0.76', 0.08124289623081206)]"
5,5.32,"[('alcohol > 0.72', 0.7259121383798076), ('free sulfur dioxide <= -0.71', -0.25821548309563624), ('-0.18 < volatile acidity <= 0.42', -0.10579994752364), ('residual sugar <= -0.93', -0.10101115766602797), ('fixed acidity > 0.52', -0.08856409377093306), ('density <= -0.76', 0.06465283254854366)]"
